Sr. No,Code,mpower-u Questionnaire,IND-1,IND-2,IND-3,IND-4,IND-5,IND-6,IND-7,IND-8,IND-9,IND-10,IND-11,IND-12,IND-13,IND-14,IND-15,IND-16,IND-17,IND-18,IND-19,IND-20,IND-21,IND-22,IND-23,IND-24,IND-25,IND-26,IND-27,IND-28,IND-29,IND-30,IND-31,IND-32,IND-33,IND-34,IND-35,IND-36,IND-37,IND-38,IND-39,IND-40,IND-41,IND-42,IND-43,IND-44,IND-45,IND-46,IND-47,IND-48,IND-49,IND-50,IND-51,IND-52,IND-53,IND-54,IND-55,IND-56,IND-57,IND-58,IND-59,IND-60,IND-61,IND-62,IND-63,IND-64,IND-65,IND-66,IND-67,IND-68,IND-69,IND-70,IND-71,IND-72,IND-73,IND-74,IND-75,IND-76,IND-77,IND-78,IND-79,IND-80,IND-81,IND-82,IND-83,IND-84,IND-85,IND-86,IND-87,,IND-88,,IND-89,,IND-90,,IND-91,,IND-92,,IND-93,,IND-94,,IND-95,,IND-96,,IND-97,,IND-98,,IND-99,,IND-100,,IND-101,,IND-102,,IND-103,,IND-104,,IND-105,,IND-106,,IND-107,,IND-108,,IND-109,,IND-110,,IND-111,,IND-112,,IND-113,,IND-114,,IND-115,,IND-116,,IND-117,,IND-118,,IND-119,,IND-120,,IND-121,,IND-122,,IND-123,,IND-124,,IND-125,,IND-126,,IND-127,,IND-128,,IND-129,,IND-130,,IND-131,,IND-132,,IND-133,,IND-134,,IND-135,,IND-136,,IND-137,,IND-138,,IND-139,,IND-140,,IND-141,,IND-142,,IND-143,,IND-144,
1,BXIZZB001V010001,I try to be with people,Occasionally,Often,Often,Usually,Sometimes,Usually,Usually,Usually,Usually,Usually,Usually,Often,Sometimes,Often,Usually,Rarely,Usually,Sometimes,Sometimes,Sometimes,Usually,Usually,Usually,Often,Often,Usually,Rarely,Often,Occasionally,Usually,Often,Usually,Usually,Often,Usually,Often,Sometimes,Usually,Usually,Occasionally,Usually,Usually,Sometimes,Usually,Often,Usually,Often,Occasionally,Often,Sometimes,Sometimes,Usually,Usually,Usually,Often,Usually,Usually,Usually,Often,Usually,Often,Usually,Sometimes,Usually,Usually,Usually,Sometimes,Often,Usually,Occasionally,Usually,Often,Usually,Often,Often,Often,Usually,Often,Often,Sometimes,Usually,Usually,Usually,Usually,Usually,Sometimes,2,Often,1,Usually,2,Often,2,Often,2,Often,4,Occasionally,1,Usually,1,Usually,3,Sometimes,2,Often,1,Usually,3,Sometimes,1,Usually,2,Often,1,Usually,2,Often,4,Occasionally,2,Often,1,Usually,3,Sometimes,4,Occasionally,4,Occasionally,1,Usually,2,Often,2,Often,1,Usually,3,Sometimes,2,Often,2,Often,2,Often,2,Often,3,Sometimes,1,Usually,2,Often,2,Often,2,Often,2,Often,2,Often,4,Occasionally,4,Occasionally,4,Occasionally,2,Often,1,Usually,5,Rarely,2,Often,2,Often,4,Occasionally,2,Often,4,Occasionally,3,Sometimes,1,Usually,1,Usually,2,Often,1,Usually,4,Occasionally,4,Occasionally,1,Usually,2,Often
2,BXIZZB001V010002,I let other people decide what to do,Usually,Often,Rarely,Never,Never,Occasionally,Never,Occasionally,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Often,Never,Occasionally,Rarely,Occasionally,Occasionally,Often,Sometimes,Occasionally,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Sometimes,Rarely,Occasionally,Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Usually,Occasionally,Occasionally,Often,Sometimes,Sometimes,Sometimes,Sometimes,Usually,Never,Often,Sometimes,Usually,Sometimes,Usually,Sometimes,Usually,Sometimes,Usually,Rarely,Sometimes,Occasionally,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,1,Usually,3,Sometimes,4,Occasionally,1,Usually,2,Often,4,Occasionally,4,Occasionally,2,Often,2,Often,2,Often,5,Rarely,5,Rarely,2,Often,2,Often,3,Sometimes,1,Usually,2,Often,3,Sometimes,2,Often,2,Often,3,Sometimes,2,Often,2,Often,1,Usually,2,Often,2,Often,4,Occasionally,5,Rarely,2,Often,4,Occasionally,3,Sometimes,4,Occasionally,3,Sometimes,6,Never,2,Often,3,Sometimes,3,Sometimes,1,Usually,3,Sometimes,1,Usually,1,Usually,3,Sometimes,2,Often,4,Occasionally,4,Occasionally,3,Sometimes,3,Sometimes,4,Occasionally,3,Sometimes,3,Sometimes,3,Sometimes,2,Often,2,Often,3,Sometimes,3,Sometimes,6,Never,1,Usually,3,Sometimes
3,BXIZZB001V010003,I join social group,Usually,Usually,Often,Occasionally,Sometimes,Usually,Sometimes,Sometimes,Usually,Usually,Rarely,Sometimes,Usually,Often,Usually,Sometimes,Often,Sometimes,Often,Rarely,Usually,Usually,Usually,Often,Often,Usually,Rarely,Often,Occasionally,Often,Often,Usually,Often,Often,Sometimes,Sometimes,Usually,Usually,Usually,Occasionally,Sometimes,Often,Occasionally,Occasionally,Usually,Sometimes,Often,Often,Often,Sometimes,Rarely,Usually,Usually,Usually,Usually,Usually,Rarely,Usually,Often,Usually,Often,Usually,Usually,Usually,Usually,Sometimes,Sometimes,Often,Usually,Sometimes,Never,Sometimes,Sometimes,Sometimes,Often,Occasionally,Often,Often,Usually,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,1,Usually,1,Usually,2,Often,3,Sometimes,4,Occasionally,3,Sometimes,4,Occasionally,1,Usually,2,Often,2,Often,1,Usually,3,Sometimes,1,Usually,1,Usually,6,Never,2,Often,4,Occasionally,2,Often,3,Sometimes,1,Usually,3,Sometimes,3,Sometimes,1,Usually,1,Usually,3,Sometimes,1,Usually,1,Usually,3,Sometimes,3,Sometimes,5,Rarely,4,Occasionally,2,Often,2,Often,4,Occasionally,3,Sometimes,3,Sometimes,3,Sometimes,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,6,Never,2,Often,4,Occasionally,4,Occasionally,2,Often,3,Sometimes,4,Occasionally,4,Occasionally,2,Often,2,Often,4,Occasionally,2,Often,4,Occasionally,2,Often,5,Rarely
4,BXIZZB001V010004,I try to have close relationships with people,Rarely,Often,Sometimes,Occasionally,Sometimes,Rarely,Usually,Sometimes,Usually,Never,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Usually,Sometimes,Usually,Often,Often,Sometimes,Usually,Rarely,Never,Usually,Usually,Often,Sometimes,Often,Sometimes,Usually,Usually,Sometimes,Usually,Usually,Rarely,Usually,Often,Occasionally,Sometimes,Usually,Usually,Usually,Sometimes,Often,Rarely,Sometimes,Usually,Usually,Rarely,Usually,Usually,Occasionally,Usually,Sometimes,Often,Often,Sometimes,Sometimes,Usually,Usually,Often,Sometimes,Sometimes,Usually,Usually,Rarely,Sometimes,Sometimes,Sometimes,Often,Occasionally,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Occasionally,Rarely,Sometimes,Rarely,2,Often,1,Usually,1,Usually,1,Usually,2,Often,4,Occasionally,3,Sometimes,2,Often,4,Occasionally,1,Usually,1,Usually,2,Often,3,Sometimes,2,Often,1,Usually,5,Rarely,2,Often,2,Often,3,Sometimes,2,Often,6,Never,3,Sometimes,4,Occasionally,2,Often,4,Occasionally,1,Usually,2,Often,2,Often,4,Occasionally,1,Usually,3,Sometimes,5,Rarely,2,Often,2,Often,1,Usually,2,Often,5,Rarely,2,Often,2,Often,2,Often,6,Never,2,Often,1,Usually,6,Never,1,Usually,3,Sometimes,1,Usually,3,Sometimes,4,Occasionally,4,Occasionally,3,Sometimes,2,Often,1,Usually,1,Usually,2,Often,2,Often,1,Usually,1,Usually
5,BXIZZB001V010005,I tend to join social organizations when I have an opportunity,Usually,Sometimes,Sometimes,Occasionally,Sometimes,Often,Sometimes,Usually,Often,Usually,Sometimes,Sometimes,Usually,Often,Usually,Occasionally,Sometimes,Occasionally,Often,Usually,Usually,Usually,Often,Often,Often,Usually,Rarely,Often,Usually,Often,Usually,Usually,Often,Sometimes,Usually,Usually,Sometimes,Usually,Usually,Occasionally,Often,Sometimes,Rarely,Occasionally,Usually,Sometimes,Often,Often,Often,Sometimes,Sometimes,Usually,Usually,Usually,Often,Occasionally,Occasionally,Often,Often,Often,Often,Usually,Usually,Usually,Usually,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Usually,Sometimes,Often,Occasionally,Sometimes,Sometimes,Often,Usually,Sometimes,Sometimes,Occasionally,Sometimes,Often,Sometimes,2,Often,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,1,Usually,3,Sometimes,4,Occasionally,2,Often,1,Usually,4,Occasionally,4,Occasionally,1,Usually,2,Often,1,Usually,4,Occasionally,3,Sometimes,2,Often,2,Often,3,Sometimes,2,Often,5,Rarely,3,Sometimes,2,Often,3,Sometimes,2,Often,4,Occasionally,3,Sometimes,3,Sometimes,6,Never,2,Often,2,Often,4,Occasionally,2,Often,2,Often,4,Occasionally,3,Sometimes,6,Never,4,Occasionally,6,Never,6,Never,2,Often,4,Occasionally,6,Never,2,Often,4,Occasionally,2,Often,2,Often,5,Rarely,4,Occasionally,4,Occasionally,4,Occasionally,2,Often,3,Sometimes,4,Occasionally,2,Often,1,Usually,5,Rarely
6,BXIZZB001V010006,I let other people strongly influence my actions,Never,Often,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,Never,Occasionally,Rarely,Sometimes,Usually,Sometimes,Never,Rarely,Sometimes,Sometimes,Occasionally,Sometimes,Usually,Sometimes,Often,Usually,Never,Rarely,Never,Usually,Never,Occasionally,Rarely,Never,Never,Usually,Rarely,Rarely,Never,Never,Occasionally,Never,Sometimes,Occasionally,Occasionally,Rarely,Sometimes,Sometimes,Never,Usually,Often,Rarely,Never,Often,Often,Never,Occasionally,Often,Sometimes,Never,Never,Often,Never,Sometimes,Sometimes,Usually,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Occasionally,Rarely,Occasionally,Sometimes,Sometimes,Occasionally,Sometimes,Never,Sometimes,Sometimes,Sometimes,5,Rarely,6,Never,4,Occasionally,4,Occasionally,5,Rarely,6,Never,5,Rarely,4,Occasionally,4,Occasionally,6,Never,6,Never,6,Never,1,Usually,4,Occasionally,1,Usually,6,Never,5,Rarely,1,Usually,3,Sometimes,6,Never,3,Sometimes,4,Occasionally,6,Never,5,Rarely,5,Rarely,2,Often,3,Sometimes,4,Occasionally,3,Sometimes,1,Usually,6,Never,5,Rarely,2,Often,1,Usually,4,Occasionally,3,Sometimes,3,Sometimes,3,Sometimes,6,Never,6,Never,6,Never,1,Usually,3,Sometimes,5,Rarely,1,Usually,6,Never,3,Sometimes,5,Rarely,2,Often,5,Rarely,3,Sometimes,5,Rarely,6,Never,5,Rarely,3,Sometimes,6,Never,2,Often,5,Rarely
7,BXIZZB001V010007,I try to be included in informal social activities,Usually,Never,Rarely,Occasionally,Never,Often,Usually,Sometimes,Occasionally,Never,Occasionally,Occasionally,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,Usually,Usually,Never,Occasionally,Sometimes,Never,Rarely,Never,Sometimes,Often,Often,Rarely,Never,Occasionally,Sometimes,Sometimes,Rarely,Occasionally,Sometimes,Sometimes,Rarely,Sometimes,Usually,Usually,Sometimes,Sometimes,Occasionally,Usually,Sometimes,Sometimes,Rarely,Usually,Never,Rarely,Sometimes,Never,Occasionally,Usually,Often,Usually,Never,Occasionally,Never,Rarely,Rarely,Sometimes,Sometimes,Often,Usually,Usually,Sometimes,Sometimes,Usually,Sometimes,Sometimes,Usually,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Usually,Usually,Rarely,2,Often,2,Often,4,Occasionally,2,Often,2,Often,1,Usually,1,Usually,3,Sometimes,2,Often,1,Usually,4,Occasionally,3,Sometimes,1,Usually,4,Occasionally,2,Often,3,Sometimes,2,Often,4,Occasionally,2,Often,2,Often,2,Often,2,Often,2,Often,2,Often,6,Never,1,Usually,4,Occasionally,4,Occasionally,2,Often,1,Usually,2,Occasionally,2,Often,1,Usually,4,Occasionally,2,Often,1,,4,Occasionally,2,Often,2,Often,3,Sometimes,3,Sometimes,2,Often,1,Usually,5,Rarely,1,Usually,5,Rarely,4,Occasionally,2,Often,4,Occasionally,2,Often,1,Usually,2,Often,2,Often,1,Usually,2,Often,2,Often,1,Usually,3,Sometimes
8,BXIZZB001V010008,"I try to have close, personal relationship with people",Rarely,Sometimes,Sometimes,Occasionally,Sometimes,Rarely,Sometimes,Often,Often,Never,Rarely,Sometimes,Rarely,Usually,Rarely,Occasionally,Never,Rarely,Sometimes,Rarely,Often,Sometimes,Sometimes,Often,Often,Usually,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Usually,Usually,Sometimes,Often,Occasionally,Sometimes,Sometimes,Usually,Occasionally,Occasionally,Occasionally,Often,Occasionally,Sometimes,Usually,Usually,Never,Sometimes,Usually,Sometimes,Usually,Sometimes,Sometimes,Often,Occasionally,Usually,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Usually,Sometimes,Sometimes,Sometimes,Often,Usually,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Usually,Occasionally,Occasionally,1,Usually,1,Usually,2,Often,4,Occasionally,1,Usually,6,Never,3,Sometimes,5,Rarely,2,Often,3,Sometimes,3,Sometimes,5,Rarely,1,Usually,3,Sometimes,2,Often,5,Rarely,1,Usually,4,Occasionally,2,Often,4,Occasionally,6,Never,3,Sometimes,5,Rarely,1,Usually,5,Rarely,1,Usually,5,Rarely,5,Rarely,4,Occasionally,2,Often,4,Occasionally,4,Occasionally,3,Sometimes,6,Never,2,Often,2,Often,2,Often,1,Usually,4,Occasionally,1,Usually,6,Never,5,Rarely,1,Usually,6,Never,1,Usually,2,Often,4,Occasionally,5,Rarely,6,Never,3,Sometimes,5,Rarely,2,Often,1,Usually,3,Sometimes,5,Rarely,2,Often,2,Often,5,Rarely
9,BXIZZB001V010009,I try to include other people in my plans,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Occasionally,Sometimes,Sometimes,Usually,Rarely,Sometimes,Rarely,Sometimes,Usually,Sometimes,Sometimes,Sometimes,Often,Sometimes,Usually,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Occasionally,Usually,Usually,Often,Sometimes,Usually,Rarely,Usually,Often,Usually,Sometimes,Usually,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Usually,Occasionally,Sometimes,Usually,Sometimes,Often,Sometimes,Usually,Often,Usually,Usually,Usually,Often,Usually,Sometimes,Occasionally,Usually,Usually,Usually,Usually,Usually,Sometimes,Sometimes,Often,Sometimes,Usually,Sometimes,Sometimes,Sometimes,Sometimes,Usually,Sometimes,Rarely,Usually,Sometimes,Rarely,Sometimes,Sometimes,Occasionally,Usually,Sometimes,3,Sometimes,4,Occasionally,2,Often,2,Often,1,Usually,4,Occasionally,4,Occasionally,5,Rarely,5,Rarely,3,Sometimes,3,Sometimes,6,Never,4,Occasionally,1,Usually,6,Never,4,Occasionally,4,Occasionally,1,Usually,5,Rarely,6,Never,2,Often,3,Sometimes,6,Never,3,Sometimes,1,Usually,4,Occasionally,3,Sometimes,4,Occasionally,3,Sometimes,1,Usually,2,Often,3,Sometimes,2,Often,2,Often,5,Rarely,4,Occasionally,4,Occasionally,5,Rarely,6,Never,6,Never,1,Usually,,,4,Occasionally,4,Occasionally,1,Usually,4,Occasionally,3,Sometimes,4,Rarely,4,Occasionally,2,Often,2,Often,3,Sometimes,1,Usually,2,Often,5,Rarely,3,Sometimes,2,Often,3,Sometimes
10,BXIZZB001V010010,I let other people control my actions,Never,Often,Sometimes,Never,Never,Never,Never,Never,Occasionally,Never,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Usually,Rarely,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Rarely,Occasionally,Never,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Never,Often,Rarely,Never,Rarely,Never,Sometimes,Never,Never,Sometimes,Never,Rarely,Rarely,Usually,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Occasionally,Sometimes,Never,Never,Occasionally,Never,Sometimes,Sometimes,Never,1,Usually,5,Rarely,2,Often,6,Never,4,Occasionally,6,Never,6,Never,5,Rarely,4,Occasionally,3,Sometimes,6,Never,5,Rarely,6,Never,6,Never,2,Often,6,Never,5,Rarely,6,Never,5,Rarely,6,Never,4,Occasionally,4,Occasionally,6,Never,1,Usually,5,Rarely,6,Never,5,Rarely,5,Rarely,3,Sometimes,4,Occasionally,4,Occasionally,5,Rarely,4,Occasionally,6,Never,4,Occasionally,3,Sometimes,4,Occasionally,6,Never,6,Never,6,Never,6,Never,6,Never,3,Sometimes,4,Occasionally,2,Often,6,Never,5,Rarely,6,Never,2,Often,5,Rarely,2,Often,4,Occasionally,4,Occasionally,6,Never,4,Occasionally,2,Often,4,Occasionally,6,Never
11,BXIZZB001V010011,I try to have people around me,Usually,Often,Sometimes,Sometimes,Often,Occasionally,Sometimes,Rarely,Usually,Often,Occasionally,Occasionally,Sometimes,Sometimes,Sometimes,Occasionally,Often,Sometimes,Sometimes,Sometimes,Sometimes,Usually,Often,Often,Sometimes,Usually,Often,Usually,Usually,Often,Often,Often,Sometimes,Never,Usually,Sometimes,Usually,Usually,Sometimes,Occasionally,Rarely,Occasionally,Occasionally,Sometimes,Sometimes,Sometimes,Occasionally,Occasionally,Often,Sometimes,Sometimes,Usually,Usually,Sometimes,Sometimes,Never,Sometimes,Usually,Sometimes,Usually,Often,Often,Never,Usually,Usually,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Usually,Usually,Sometimes,Often,Occasionally,Sometimes,Sometimes,Usually,Usually,Usually,Usually,Usually,Usually,Often,Rarely,2,Often,2,Often,2,Often,2,Often,2,Often,4,Occasionally,4,Occasionally,3,Sometimes,3,Sometimes,5,Rarely,4,Occasionally,2,Often,4,Occasionally,5,Rarely,2,Often,6,Never,1,Usually,2,Often,2,Often,5,Rarely,4,Occasionally,3,Sometimes,4,Occasionally,2,Often,2,Often,1,Usually,3,Sometimes,3,Sometimes,4,Occasionally,1,Usually,2,Often,3,Sometimes,1,Usually,5,Rarely,2,Often,1,Usually,4,Occasionally,2,Often,3,Sometimes,2,Often,6,Never,1,Usually,1,Usually,2,Often,2,Often,3,Sometimes,4,Occasionally,1,Usually,4,Occasionally,4,Occasionally,1,Usually,2,Often,2,Often,1,Usually,2,Often,2,Often,1,Usually,1,Usually
12,BXIZZB001V010012,I try to get close and personal with people,Rarely,Sometimes,Sometimes,Occasionally,Never,Rarely,Usually,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,Usually,Sometimes,Rarely,Sometimes,Sometimes,Occasionally,Rarely,Sometimes,Usually,Often,Often,Occasionally,Usually,Rarely,Never,Rarely,Often,Often,Never,Often,Sometimes,Occasionally,Occasionally,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Occasionally,Occasionally,Usually,Never,Occasionally,Occasionally,Often,Often,Sometimes,Usually,Usually,Never,Sometimes,Sometimes,Sometimes,Usually,Occasionally,Usually,Usually,Rarely,Usually,Usually,Usually,Often,Sometimes,Sometimes,Usually,Sometimes,Occasionally,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,1,Usually,1,Usually,1,Usually,2,Often,4,Occasionally,6,Never,1,Usually,3,Sometimes,3,Sometimes,3,Sometimes,1,Usually,4,Occasionally,3,Sometimes,3,Sometimes,2,Often,6,Never,1,Usually,4,Occasionally,3,Sometimes,6,Never,6,Never,4,Occasionally,4,Occasionally,1,Usually,5,Rarely,1,Usually,3,Sometimes,3,Sometimes,4,Occasionally,2,Often,4,Occasionally,4,Occasionally,1,Usually,2,Often,2,Often,2,Often,6,Never,1,Usually,3,Sometimes,1,Usually,2,Often,4,Occasionally,1,Usually,2,Often,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,5,Rarely,6,Never,2,Often,1,Usually,2,Often,2,Often,5,Rarely,4,Occasionally,1,Usually,6,Never
13,BXIZZB001V010013,When people are doing things together I tend to join them,Sometimes,Usually,Sometimes,Usually,Sometimes,Often,Sometimes,Usually,Sometimes,Usually,Rarely,Sometimes,Usually,Usually,Usually,Usually,Sometimes,Usually,Sometimes,Usually,Usually,Usually,Sometimes,Often,Often,Often,Often,Usually,Rarely,Usually,Often,Usually,Occasionally,Usually,Usually,Usually,Usually,Usually,Usually,Usually,Often,Usually,Often,Usually,Usually,Usually,Usually,Usually,Often,Usually,Sometimes,Usually,Usually,Usually,Often,Usually,Occasionally,Usually,Sometimes,Usually,Usually,Usually,Usually,Usually,Usually,Sometimes,Sometimes,Often,Usually,Sometimes,Usually,Often,Usually,Sometimes,Often,Occasionally,Sometimes,Sometimes,Sometimes,Sometimes,Occasionally,Sometimes,Sometimes,Usually,Often,Usually,2,Often,2,Often,2,Often,4,Occasionally,1,Usually,4,Occasionally,3,Sometimes,3,Sometimes,2,Often,3,Sometimes,1,Usually,2,Often,2,Often,1,Usually,2,Often,3,Sometimes,1,Usually,3,Sometimes,1,Usually,4,Occasionally,3,Sometimes,4,Occasionally,1,Usually,2,Often,3,Sometimes,4,Occasionally,4,Occasionally,2,Often,3,Sometimes,2,Often,3,Sometimes,2,Often,2,Often,6,Never,5,Rarely,3,Sometimes,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,1,Usually,1,Usually,1,Usually,1,Usually,3,Sometimes,2,Often,3,Sometimes,2,Often,4,Occasionally,4,Occasionally,3,Sometimes,3,Sometimes,2,Often,2,Often,2,Often,4,Occasionally,1,Usually,3,Sometimes
14,BXIZZB001V010014,I am easily led by people,Rarely,Often,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Never,Usually,Rarely,Rarely,Sometimes,Rarely,Usually,Sometimes,Occasionally,Occasionally,Sometimes,Never,Occasionally,Usually,Usually,Occasionally,Often,Rarely,Sometimes,Often,Rarely,Occasionally,Occasionally,Occasionally,Never,Sometimes,Never,Rarely,Sometimes,Usually,Often,Rarely,Sometimes,Occasionally,Often,Occasionally,Usually,Rarely,Occasionally,Rarely,Rarely,Rarely,Never,Sometimes,Usually,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Usually,Never,Rarely,Sometimes,Sometimes,Occasionally,Never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Occasionally,Never,Sometimes,Sometimes,Often,3,Sometimes,6,Never,3,Sometimes,4,Occasionally,5,Rarely,2,Often,5,Rarely,1,Usually,3,Sometimes,3,Sometimes,6,Never,4,Occasionally,3,Sometimes,1,Usually,6,Never,6,Never,2,Often,6,Never,4,Occasionally,6,Never,3,Sometimes,3,Sometimes,5,Rarely,3,Sometimes,5,Rarely,2,Often,3,Sometimes,5,Rarely,6,Never,4,Occasionally,3,Sometimes,4,Occasionally,5,Rarely,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,4,Occasionally,3,Sometimes,3,Sometimes,3,Sometimes,5,Rarely,1,Usually,1,Usually,4,Occasionally,2,Often,2,Often,2,Often,3,Sometimes,1,Usually,5,Rarely,4,Occasionally,4,Occasionally,3,Sometimes,4,Occasionally
15,BXIZZB001V010015,I try avoid being alone,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Usually,Usually,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Occasionally,Rarely,Occasionally,Sometimes,Rarely,Sometimes,Never,Often,Rarely,Sometimes,Occasionally,Often,Often,Often,Usually,Usually,Sometimes,Sometimes,Sometimes,Usually,Sometimes,Occasionally,Never,Sometimes,Usually,Usually,Usually,Never,Occasionally,Usually,Rarely,Occasionally,Never,Sometimes,Never,Rarely,Sometimes,Usually,Usually,Often,Usually,Usually,Rarely,Usually,Usually,Never,Sometimes,Sometimes,Sometimes,Sometimes,Usually,Occasionally,Never,Often,Usually,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Occasionally,Sometimes,3,Sometimes,6,Never,1,Usually,2,Often,3,Sometimes,3,Sometimes,3,Sometimes,1,Usually,2,Often,1,Usually,4,Occasionally,1,Usually,4,Occasionally,1,Usually,1,Usually,6,Never,3,Sometimes,2,Often,4,Occasionally,4,Occasionally,2,Often,4,Occasionally,6,Never,4,Occasionally,5,Rarely,1,Usually,3,Sometimes,2,Often,2,Often,2,Often,2,Often,4,Occasionally,1,Usually,6,,6,Never,6,Never,6,Never,2,Often,2,Often,2,Often,4,Occasionally,2,Often,4,Occasionally,1,Usually,3,Sometimes,3,Sometimes,4,Occasionally,3,Sometimes,3,Sometimes,6,Never,4,Occasionally,2,Often,6,Never,5,Rarely,3,Sometimes,3,Sometimes,1,Usually,1,Usually
16,BXIZZB001V010016,I try to participate in group activities,Often,Often,Sometimes,Occasionally,Often,Usually,Usually,Often,Often,Usually,Sometimes,Sometimes,Usually,Usually,Usually,Occasionally,Usually,Usually,Sometimes,Sometimes,Usually,Usually,Usually,Often,Often,Usually,Usually,Sometimes,Occasionally,Usually,Usually,Usually,Usually,Often,Usually,Sometimes,Sometimes,Usually,Often,Usually,Usually,Usually,Occasionally,Usually,Often,Usually,Occasionally,Often,Often,Sometimes,Sometimes,Usually,Usually,Often,Often,Usually,Usually,Usually,Often,Often,Often,Usually,Usually,Usually,Usually,Often,Sometimes,Usually,Usually,Sometimes,Usually,Sometimes,Usually,Sometimes,Often,Occasionally,Sometimes,Sometimes,Often,Sometimes,Usually,Usually,Occasionally,Usually,Often,Rarely,2,Often,1,Usually,2,Often,3,Occasionally,2,Often,3,Sometimes,2,Often,3,Sometimes,2,Often,1,Usually,2,Often,2,Often,1,Usually,1,Usually,2,Often,2,Often,1,Usually,2,Often,3,Sometimes,4,Occasionally,2,Often,5,Rarely,1,Usually,5,Rarely,4,Occasionally,2,Often,4,Occasionally,2,Often,3,Sometimes,1,Usually,2,Often,2,Often,2,Often,2,Often,3,Sometimes,3,Sometimes,3,Sometimes,1,Usually,2,Often,1,Usually,1,Usually,2,Often,1,Usually,1,Usually,1,Usually,4,Occasionally,3,Sometimes,2,Often,6,Never,4,Occasionally,1,Usually,2,Often,2,Often,1,Usually,4,Occasionally,4,Occasionally,1,Usually,1,Usually