75,BXIZZB003V010001,Is being comfortable more important to you than getting ahead?,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Don't Know,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Don't Know,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Don't Know,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Don't Know,Yes,No,Yes,No,No,No,No,Yes,Yes,,No,No,No,Yes,Yes,Don't Know,No,No,No,Don't Know,No,Don't Know,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
76,BXIZZB003V010002,Are you satisfied to be no better than most other people at your job?,No,Yes,No,No,No,Yes,Yes,Don't Know,Don't Know,Yes,Don't Know,Don't Know,Yes,No,No,No,Don't Know,Yes,No,No,Yes,Yes,Don't Know,Yes,No,Don't Know,Don't Know,No,No,No,Yes,Don't Know,No,No,No,Yes,Yes,Yes,No,No,No,Don't Know,Don't Know,No,Don't Know,Yes,Yes,No,Don't Know,No,no,No,No,No,Don't Know,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Don't Know,No,Yes,,No,No,Yes,No,Yes,Yes,Yes,Don't Know,Don't Know,Don't Know,No,Don't Know,No,Don't Know,No,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,No,No,No,No,No,No,Don't Know,Don't Know,Don't Know,Don't Know,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
77,BXIZZB003V010003,Do you like to make improvements to the way the organization you belong to function?,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Don't Know,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
78,BXIZZB003V010004,Do you take initiative to nurture and train people who may be useful in your business,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
79,BXIZZB003V010005,Do you get restless and annoyed when you feel you are wasting time?,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,Yes,Yes,No,Yes,Yes,Don't Know,Don't Know,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
80,BXIZZB003V010006,Have you always worked hard in order to be the best in your field?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,हाँ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Don't Know,Don't Know,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,No,No
81,BXIZZB003V010007,Would you prefer to work with a congenial but incompetent partner rather than a difficult but highly competent one?,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Don't Know,No,Yes,No,Yes,Don't Know,Don't Know,Yes,No,No,No,Yes,No,No,Don't Know,Don't Know,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Don't Know,No,No,No,Don't Know,No,Yes,Yes,No,No,Don't Know,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Don't Know,Yes,No,No,No,Yes,Yes,Don't Know,No,Yes,,Yes,Yes,Yes,Yes,Don't Know,No,Don't Know,Yes,Don't Know,Don't Know,No,Yes,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,No,No,No,Don't Know,Don't Know,Don't Know,Don't Know,Yes,Yes,No,No,No,No,No,No,Don't Know,Don't Know,Yes,Yes,Yes,Yes,No,No,Don't Know,Don't Know,No,No,Don't Know,Don't Know,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Don't Know,Don't Know,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes
82,BXIZZB003V010008,Do you tend to plan ahead for your job or career?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
83,BXIZZB003V010009,Is “getting on in life” important to you?,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
84,BXIZZB003V010010,Are you an ambitious person?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,,Don't Know,No,No,Yes,Yes,Yes,Yes,Don't Know,Yes,Yes,No,No,Don't Know,No,Yes,No,No,No,No,No,No,No,No,Don't Know,Don't Know,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,Don't Know,Don't Know,Yes,Yes,No,No,No,No,No,No,No,No,Don't Know,Don't Know,No,No,Yes,Yes,No,No,No,No,Don't Know,Don't Know,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,,,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No
85,BXIZZB003V010011,Are you inclined to read of the success of other rather than do the working of making yourself a success?,No,Yes,Don't Know,No,Yes,Yes,Yes,No,Yes,No,Yes,Don't Know,Yes,No,No,Don't Know,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,no,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Don't Know,No,Yes,,Don't Know,No,No,No,Don't Know,Yes,Don't Know,No,Yes,Don't Know,Yes,No,Yes,No,No,Yes,Yes,Don't Know,Don't Know,Yes,Yes,No,No,Don't Know,Don't Know,Don't Know,Don't Know,Yes,Yes,No,No,Yes,Yes,No,No,Don't Know,Don't Know,Don't Know,Don't Know,No,No,No,No,Don't Know,Don't Know,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Don't Know,Don't Know,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,No,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
86,BXIZZB003V010012,Would you describe yourself as being lazy?,No,Don't Know,No,No,No,No,No,No,No,No,No,No,Don't Know,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,No,No,No,No,No,No,No,Yes,No,no,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,Yes,No,No,No,No,No,No,No,No,Don't Know,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
87,BXIZZB003V010013,Will days often go by without your having done a thing?,No,Don't Know,Don't Know,No,No,No,Yes,No,No,No,Don't Know,No,No,No,No,No,No,No,Don't Know,No,No,No,No,No,No,No,No,Yes,No,No,Don't Know,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,No,No,No,no,No,No,No,Don't Know,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,No,Yes,Yes,No,No,No,No,No,No,Don't Know,Don't Know,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
88,BXIZZB003V010014,Are you inclined to take life as it comes without much planning?,No,Don't Know,No,No,No,No,No,Don't Know,No,No,No,Don't Know,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Don't Know,No,No,No,Don't Know,No,No,Yes,Don't Know,No,Yes,Don't Know,Yes,Yes,Yes,No,No,No,No,No,Don't Know,Don't Know,No,Don't Know,Yes,Don't Know,Yes,no,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Don't Know,No,Yes,No,No,No,No,,Yes,No,Yes,No,Yes,Yes,No,No,Don't Know,Don't Know,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
